GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.utils,Utils,0,19,0,0,0,6,0,2,0,2
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,PersonDAO,5,212,5,19,3,40,5,15,0,8
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,MedicalrecordDAO,1,72,2,4,1,16,2,7,0,6
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,FloodDAO,0,101,1,9,0,21,1,7,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,PersonsSupervisedByFirestationDAO,0,172,1,17,0,35,1,11,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,ChildWithAgeAndMembersOfFamilyDAO,0,149,1,9,0,28,1,7,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,FirestationDAO,2,111,3,9,1,21,3,10,0,7
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,InfosDAO,0,94,0,14,0,18,0,10,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,PhoneDAO,0,72,0,10,0,17,0,8,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.dao,PersonWithAgeAndMedicalRecordsDAO,13,163,3,13,2,31,3,8,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts,ServletInitializer,12,0,0,0,2,0,2,0,2,0
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts,SafetyNetAlertsApplication,5,3,0,0,2,1,1,1,1,1
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,FirestationController,8,135,2,2,3,27,2,9,0,9
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,AlertController,3,18,1,1,1,5,1,3,0,3
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,PersonController,3,62,1,1,1,16,1,7,0,7
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,CommunityController,0,8,0,0,0,2,0,2,0,2
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,MedicalrecordController,3,56,1,1,1,15,1,6,0,6
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.controller,FloodController,0,8,0,0,0,2,0,2,0,2
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,PersonWithAgeAndMedicalRecords,0,3,0,0,0,1,0,1,0,1
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,Data,34,33,0,0,6,14,2,8,2,8
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,Person,267,81,54,8,53,33,33,17,3,16
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,PersonsSupervisedByFirestation,12,24,0,0,5,11,1,7,1,7
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,PersonWithAllInfos,108,51,22,4,29,20,15,10,2,10
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,PersonInfos,0,3,0,0,0,1,0,1,0,1
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,Firestation,50,63,10,6,16,17,10,7,2,7
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,Medicalrecord,144,98,33,13,27,31,25,12,2,12
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.model,ChildWithAgeAndMembersOfFamily,34,24,0,0,6,11,2,7,2,7
SafetyNetAlerts,com.hfinoux.SafetyNetAlerts.parser,DataReader,3,32,0,0,2,8,0,2,0,2
